game_id,minute,home_team_possession,away_team_possession
1729423,10,48.3,51.7
1729423,20,48.7,51.3
1729423,30,46.8,53.2
1729423,40,42.1,57.9
1729423,45+2,41.3,58.7
1729423,50,43.4,56.6
1729423,60,44.0,56.0
1729423,70,42.6,57.4
1729423,80,43.4,56.6
1729423,90,43.1,56.9
1729423,90+7,42.9,57.1
1729494,10,39.5,60.5
1729494,20,43.5,56.5
1729494,30,40.7,59.3
1729494,40,40.0,60.0
1729494,45+3,38.0,62.0
1729494,50,35.7,64.3
1729494,60,31.5,68.5
1729494,70,33.5,66.5
1729494,80,31.5,68.5
1729494,90,31.0,69.0
1729494,90+10,33.0,67.0
1729494,90+12,32.8,67.2
1729259,10,57.9,42.1
1729259,20,54.3,45.7
1729259,30,59.4,40.6
1729259,40,58.4,41.6
1729259,45+3,56.9,43.1
1729259,50,57.8,42.2
1729259,60,57.4,42.6
1729259,70,56.6,43.4
1729259,80,53.8,46.2
1729259,90,56.6,43.4
1729259,90+5,56.9,43.1
1640739,10,34.1,65.9
1640739,20,43.6,56.4
1640739,30,42.5,57.5
1640739,40,40.3,59.7
1640739,45+1,39.5,60.5
1640739,50,40.4,59.6
1640739,60,40.5,59.5
1640739,70,39.4,60.6
1640739,80,36.4,63.6
1640739,90,36.2,63.8
1640739,90+6,35.9,64.1
1729530,10,27.8,72.2
1729530,20,28.7,71.3
1729530,30,36.3,63.7
1729530,40,34.5,65.5
1729530,45+1,36.0,64.0
1729530,50,35.9,64.1
1729530,60,37.5,62.5
1729530,70,35.4,64.6
1729530,80,34.3,65.7
1729530,90,32.6,67.4
1729530,90+5,31.4,68.6
1729302,10,54.5,45.5
1729302,20,53.1,46.9
1729302,30,59.7,40.3
1729302,40,58.3,41.7
1729302,45+5,57.9,42.1
1729302,45+7,57.1,42.9
1729302,50,57.7,42.3
1729302,60,58.1,41.9
1729302,70,59.7,40.3
1729302,80,62.2,37.8
1729302,90,63.5,36.5
1729302,90+7,64.5,35.5
1729462,10,52.8,47.2
1729462,20,46.8,53.2
1729462,30,45.0,55.0
1729462,40,44.4,55.6
1729462,45+4,46.6,53.4
1729462,50,46.3,53.7
1729462,60,45.8,54.2
1729462,70,47.1,52.9
1729462,80,43.3,56.7
1729462,90,43.3,56.7
1729462,90+7,42.6,57.4
1729219,10,42.6,57.4
1729219,20,57.1,42.9
1729219,30,53.3,46.7
1729219,40,54.7,45.3
1729219,45+3,53.5,46.5
1729219,50,53.2,46.8
1729219,60,51.7,48.3
1729219,70,50.5,49.5
1729219,80,47.9,52.1
1729219,90,46.3,53.7
1729219,90+10,44.3,55.7
1729219,90+11,44.3,55.7
1729227,10,63.5,36.5
1729227,20,57.5,42.5
1729227,30,60.3,39.7
1729227,40,59.2,40.8
1729227,45+5,57.7,42.3
1729227,50,57.9,42.1
1729227,60,59.2,40.8
1729227,70,60.4,39.6
1729227,80,61.9,38.1
1729227,90,63.4,36.6
1729227,90+6,63.7,36.3
1640850,10,21.8,78.2
1640850,20,25.5,74.5
1640850,30,23.8,76.2
1640850,40,20.9,79.1
1640850,45+1,20.7,79.3
1640850,50,25.0,75.0
1640850,60,28.1,71.9
1640850,70,30.3,69.7
1640850,80,28.2,71.8
1640850,90,28.2,71.8
1640850,90+3,27.7,72.3
1729327,10,81.6,18.4
1729327,20,71.9,28.1
1729327,30,71.9,28.1
1729327,40,74.3,25.7
1729327,45+3,73.2,26.8
1729327,50,73.5,26.5
1729327,60,73.3,26.7
1729327,70,72.0,28.0
1729327,80,71.4,28.6
