season,player_id,firstname,lastname,age,height,weight,appearances,lineups,minutes_played,position,rating,captain,substitutions_in,substitutions_out,bench_appearances,total_shots,shots_on_target,total_goals,assists,goals_conceded,saves,total_passes,key_passes,pass_accuracy,total_tackles,blocks,interceptions,total_duels,duels_won,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,yellow_red_cards,red_cards,penalties_won,penalties_committed,penalties_scored,penalties_missed,penalties_saved
2020,18956,Shane Patrick,Long,36.0,178,81,11,1,201,Attacker,6.41,False,10,1,17,2,1,0,0,0,0,55,0,0,2,0,3,50,22,5,2,0,6,7,0,0,0,0,0,0,0,0
2020,18936,Ryan Dominic,Bertrand,34.0,179,85,29,29,2599,Defender,6.641379,False,0,1,0,8,3,0,1,0,0,1197,14,0,60,1,30,245,135,9,3,0,35,29,5,0,0,0,0,0,0,0
2020,18769,Theo James,Walcott,34.0,176,68,21,20,1629,Attacker,6.3,False,1,12,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,18934,Harry,Lewis,27.0,191,77,0,0,0,Goalkeeper,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,284423,Ryan James,Finnigan,21.0,,,0,0,0,Midfielder,,False,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,138864,Kgaogelo,Chauke,21.0,,,0,0,0,Midfielder,,False,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,130422,Dan,Nlundulu Konda,25.0,185,75,13,0,98,Attacker,6.4,False,13,0,29,1,0,0,0,0,0,29,1,0,0,0,0,23,7,2,2,0,0,6,0,0,0,0,0,0,0,0
2020,237124,Caleb Cassius,Watts,22.0,171,,3,0,36,Midfielder,6.566666,False,3,0,9,0,0,0,0,0,0,12,0,0,2,0,0,9,4,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,18939,Kayne Richard Junior,Ramsay,24.0,179,66,0,0,0,Defender,5.2,False,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,47480,Mohammed,Salisu Abdul Karim,25.0,191,82,12,8,841,Defender,6.808333,False,4,1,15,4,1,0,0,0,0,360,2,0,38,5,17,121,72,12,9,0,4,10,1,0,0,0,0,0,0,0
2020,18955,Daniel William John,Ings,32.0,178,73,29,26,2183,Attacker,6.955172,False,3,13,3,45,27,12,4,0,0,501,22,0,22,2,3,245,93,59,30,0,18,19,1,0,0,0,0,2,0,0
2020,18943,Jannik,Vestergaard,32.0,199,94,30,29,2574,Defender,6.91,False,1,0,2,20,8,3,0,0,0,1763,7,49,51,16,41,264,167,10,7,0,11,19,3,0,1,0,0,0,0,0
2020,2938,James Michael Edward,Ward-Prowse,30.0,173,66,38,38,3420,Midfielder,7.273684,False,0,0,0,36,24,8,7,0,0,2433,61,55,76,4,42,332,167,22,17,0,27,45,5,0,0,0,0,3,1,0
2020,18932,Fraser Gerard,Forster,36.0,201,93,8,8,720,Goalkeeper,6.875,False,0,0,30,0,0,0,0,0,20,243,0,0,1,0,0,8,6,0,0,0,3,1,0,0,0,0,0,0,0,2
2020,1101,Takumi,Minamino,29.0,172,68,10,9,717,Midfielder,6.633333,False,1,7,6,4,3,2,0,0,0,138,0,0,4,0,2,39,16,7,7,0,2,4,1,0,0,0,0,0,0,0
2020,19524,Ché Zach Everton Fred,Adams,28.0,175,70,36,30,2675,Attacker,6.816666,False,6,14,6,45,31,9,5,0,0,610,37,0,25,2,4,396,160,49,27,0,55,30,1,0,0,0,0,0,0,0
2020,18948,Nathan Daniel Jerome,Redmond,30.0,173,69,29,17,1731,Midfielder,6.751724,False,12,4,13,34,13,2,3,0,0,697,29,0,30,2,11,233,94,68,39,0,15,31,1,0,0,0,0,0,0,0
2020,18957,Michael,Oluwadurotimi Obafemi,24.0,169,71,4,0,57,Attacker,6.375,False,4,0,14,0,0,0,0,0,0,12,1,0,1,0,0,13,4,1,0,0,3,1,0,0,0,0,0,0,0,0
