fixture_id,league_id,league_name,home_team_id,home_team_name,away_team_id,away_team_name,goals_half_time_home,goals_half_time_away,goals_full_time_home,goals_full_time_away,goals_extra_time_home,goals_extra_time_away,goals_penalty_home,goals_penalty_away,league_round,expected_goals_home,shots_on_goal_home,shots_off_goal_home,shots_insidebox_home,shots_outsidebox_home,total_shots_home,blocked_shots_home,fouls_home,corner_kicks_home,offsides_home,ball_possession_home,yellow_cards_home,red_cards_home,goalkeeper_saves_home,total_passes_home,passes_accurate_home,passes_percentage_home,expected_goals_away,shots_on_goal_away,shots_off_goal_away,shots_insidebox_away,shots_outsidebox_away,total_shots_away,blocked_shots_away,fouls_away,corner_kicks_away,offsides_away,ball_possession_away,yellow_cards_away,red_cards_away,goalkeeper_saves_away,total_passes_away,passes_accurate_away,passes_percentage_away,formation_home,formation_away,start_xi_home,substitutions_home,coach_home_team,start_xi_away,substitutions_away,coach_away_team
193997,39,Premier League,40,Liverpool,34,Newcastle,1,1,3,1,,,,,Regular Season - 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1624', '90491', '114778', '1350', '105044', '19238', '19501', '20059', '292', '114773', '18831']","['105422', '93990', '6353', '114819', '114882', '18904', '18840']",,"['19061', '6599', '20080', '18775', '18277', '90488', '5946', '87348', '36845', '50207', '49862']","['775', '2205', '19699', '20464', '85781', '82138', '18887']",
710887,39,Premier League,55,Brentford,47,Tottenham,0,0,0,0,,,,,Regular Season - 34,,2.0,6.0,10.0,5.0,15.0,7.0,8.0,12.0,1.0,0.44,2.0,,0.0,393.0,296.0,0.75,,0.0,4.0,7.0,2.0,9.0,5.0,7.0,8.0,1.0,0.56,1.0,,1.0,508.0,431.0,0.85,5-3-2,3-4-3,"['19465', '19124', '19346', '19345', '15745', '174', '47438', '25073', '2699', '19974', '20589']","['19362', '20649', '20110', '153261', '19831', '19347', '2727', '180308', '276263']",,"['159', '164', '30776', '1566', '186', '2735', '175', '863', '19032', '30435', '184']","['168', '178', '244', '19321', '30418', '138793', '162552', '739', '182']",
194337,39,Premier League,68,Bolton,49,Chelsea,0,2,0,4,,,,,Regular Season - 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['114765', '114867', '114884', '2281', '82001', '17727', '114864', '115951', '114848', '100187', '114856']","['87928', '935', '114885', '44827', '87916', '115947', '19697']",,"['1436', '19203', '82009', '114806', '1200', '113642', '106799', '19243', '12788', '102731', '114772']","['19357', '25352', '87726', '114828', '308', '400', '47545']",
592255,39,Premier League,63,Leeds,48,West Ham,1,1,1,2,,,,,Regular Season - 12,,7.0,5.0,10.0,3.0,13.0,1.0,12.0,5.0,2.0,0.64,1.0,,6.0,544.0,465.0,0.85,,8.0,8.0,12.0,7.0,19.0,3.0,10.0,6.0,0.0,0.36,2.0,,6.0,296.0,204.0,0.69,4-1-4-1,4-2-3-1,"['20619', '19118', '19116', '19126', '3008', '19130', '19128', '935', '19133', '19134', '1496']","['19131', '18752', '19139', '19129', '638', '64003', '19112']",,"['2997', '18817', '18813', '1231', '2500', '2937', '1243', '1697', '1826', '19361', '19428']","['18826', '18823', '18828', '2473', '18815', '19147', '19229']",
192821,39,Premier League,75,Stoke City,42,Arsenal,3,0,3,2,,,,,Regular Season - 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['18858', '21383', '18912', '19498', '19575', '47508', '780', '18928', '81993', '19512', '19511']","['19193', '19501', '90512', '36846', '2930', '90492', '82834']",,"['19599', '90489', '19148', '19016', '1439', '47261', '1695', '1459', '910', '2295', '297']","['1469', '33255', '2845', '2769', '1456', '1443', '851']",
592251,39,Premier League,42,Arsenal,44,Burnley,0,0,0,1,,,,,Regular Season - 12,,6.0,6.0,12.0,6.0,18.0,6.0,5.0,13.0,3.0,0.64,2.0,1.0,2.0,557.0,462.0,0.83,,2.0,5.0,7.0,3.0,10.0,3.0,11.0,4.0,3.0,0.36,1.0,0.0,6.0,307.0,220.0,0.72,4-2-3-1,4-4-1-1,"['1438', '1439', '1117', '1440', '22224', '1460', '1464', '1452', '2294', '1465', '1467']","['748', '1456', '1468', '1463', '2784', '1448', '1161']",,"['18911', '18916', '18917', '2936', '18918', '18926', '18921', '19268', '19169', '18931', '18929']","['18927', '18930', '19115', '21383', '18920', '19886', '18915']",
868073,39,Premier League,47,Tottenham,34,Newcastle,0,2,1,2,,,,,Regular Season - 13,,5.0,4.0,10.0,7.0,17.0,8.0,12.0,6.0,3.0,0.52,4.0,,3.0,457.0,361.0,0.79,,5.0,3.0,9.0,4.0,13.0,5.0,6.0,7.0,4.0,0.48,2.0,,3.0,409.0,332.0,0.81,3-5-2,4-3-3,"['159', '168', '175', '133', '1566', '180', '18968', '863', '19032', '184', '186']","['207', '178', '164', '18742', '149550', '19235', '2061', '138793', '18932']",,"['18911', '169', '2806', '38734', '18961', '18901', '10135', '1463', '2507', '2939', '723']","['19163', '18931', '18904', '18873', '1972', '18894', '18896', '18941', '19076']",
1035312,39,Premier League,65,Nottingham Forest,45,Everton,0,0,0,1,,,,,Regular Season - 14,0.72,2.0,5.0,9.0,4.0,13.0,6.0,15.0,4.0,1.0,0.62,1.0,,1.0,592.0,484.0,0.82,0.67,3.0,5.0,5.0,7.0,12.0,4.0,14.0,3.0,2.0,0.38,0.0,,2.0,359.0,235.0,0.65,4-3-3,4-4-1-1,"['557', '163', '18739', '363695', '17365', '22149', '24882', '19305', '18746', '18931', '153430']","['371', '2298', '305', '138780', '2771', '50999', '2991', '6056', '25916']",,"['2932', '894', '2936', '17661', '2165', '19128', '895', '2990', '18929', '18805', '125743']","['330412', '298099', '153425', '83', '138417', '19073', '2934', '18755', '18758']",
710572,39,Premier League,50,Manchester City,71,Norwich,2,0,5,0,,,,,Regular Season - 2,,4.0,6.0,7.0,9.0,16.0,6.0,13.0,6.0,2.0,0.67,1.0,,,730.0,684.0,0.94,,0.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,3.0,0.33,0.0,,,362.0,307.0,0.85,4-3-3,4-3-3,"['617', '627', '855', '622', '567', '633', '19187', '636', '44', '643', '931']","['645', '152982', '635', '623', '640', '144732', '641', '50828', '18861']",,"['19061', '19066', '18914', '2360', '19070', '720', '25324', '22170', '19072', '130423', '19085']","['19894', '19077', '25332', '130417', '18933', '19100', '161800', '147835', '15832']",
193276,39,Premier League,60,West Brom,45,Everton,0,1,1,1,,,,,Regular Season - 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['18791', '19548', '114759', '19417', '80379', '19162', '19304', '89051', '19154', '114772', '18930']","['90511', '44789', '3106', '19144', '85757', '19660', '3389']",,"['51298', '18759', '18757', '114747', '19895', '19153', '114746', '18758', '18763', '30412', '907']","['626', '19907', '44881', '1558', '114755', '114786', '8740']",
