game_id,team,team_id,period,minute,second,type,formation
410988,West Ham,29,2,45,1,FormationChange,4-4-2
410988,West Ham,29,2,73,27,FormationChange,4-4-2
410988,West Ham,29,1,0,0,FormationSet,5
410989,Everton,31,2,58,20,FormationChange,4-4-2
410989,Everton,31,2,73,0,FormationChange,4-4-2
410989,Blackburn,158,1,0,0,FormationSet,4-1-4-1
410991,Fulham,170,2,45,0,FormationChange,5
410991,Fulham,170,1,0,0,FormationSet,5
410992,WBA,175,2,66,51,FormationChange,4-4-2
410992,Chelsea,15,1,0,0,FormationSet,4-3-3
410995,Birmingham,157,1,0,0,FormationSet,4-4-2
410996,Tottenham,30,1,0,0,FormationSet,4-4-2
411385,Blackpool,93,2,59,40,FormationChange,4-3-3
411385,Blackpool,93,2,62,8,FormationChange,4-3-3
411385,Blackpool,93,2,69,40,FormationChange,4-3-3
411385,Blackpool,93,2,80,27,FormationChange,4-3-3
411385,Blackpool,93,2,87,36,FormationChange,4-3-3
411385,Wigan,194,1,0,0,FormationSet,5
410997,Wolves,161,2,71,10,FormationChange,4-4-2
410997,Wolves,161,1,0,0,FormationSet,4-4-2
410993,Liverpool,26,1,0,0,FormationSet,4-2-3-1
410994,Newcastle,23,2,70,39,FormationChange,4-4-2
410994,Man Utd,32,1,0,0,FormationSet,4-4-2
411016,Blackpool,93,1,20,27,FormationChange,4-3-3
411016,Blackpool,93,1,34,5,FormationChange,4-3-3
411016,Blackpool,93,1,35,2,FormationChange,4-3-3
411016,Blackpool,93,1,37,14,FormationChange,4-3-3
411016,Arsenal,13,1,0,0,FormationSet,4-3-3
411022,Blackburn,158,2,73,15,FormationChange,4-4-2
411022,Birmingham,157,2,82,10,FormationChange,4-4-2
411022,Birmingham,157,1,0,0,FormationSet,4-4-2
411018,Wolves,161,2,52,49,FormationChange,4-4-2
411018,Wolves,161,2,70,8,FormationChange,4-4-2
411018,Everton,31,2,82,10,FormationChange,4-1-4-1
411018,Wolves,161,1,0,0,FormationSet,4-4-2
411024,Tottenham,30,1,0,0,FormationSet,4-1-4-1
411023,Sunderland,16,2,66,21,FormationChange,4-4-2
411023,WBA,175,2,81,50,FormationChange,5
411023,Sunderland,16,1,0,0,FormationSet,4-4-2
411017,Bolton,92,2,80,26,FormationChange,4-4-2
411017,Bolton,92,2,87,47,FormationChange,5
411017,West Ham,29,1,0,0,FormationSet,4-4-2
411025,Chelsea,15,1,0,0,FormationSet,4-3-3
411021,Man Utd,32,2,74,1,FormationChange,4-4-2
411021,Fulham,170,1,0,0,FormationSet,4-4-1-1
411019,Aston Villa,24,2,64,44,FormationChange,4-2-3-1
411019,Newcastle,23,2,76,20,FormationChange,4-4-2
411019,Newcastle,23,1,0,0,FormationSet,4-4-1-1
411020,Liverpool,26,1,0,0,FormationSet,4-4-2
411032,Blackburn,158,2,56,3,FormationChange,4-3-3
411032,Blackburn,158,2,64,30,FormationChange,4-3-3
411032,Blackburn,158,2,80,33,FormationChange,4-3-3
411032,Arsenal,13,1,0,0,FormationSet,4-2-3-1
411036,Blackpool,93,1,39,45,FormationChange,4-3-3
411036,Blackpool,93,2,63,40,FormationChange,4-3-3
411036,Fulham,170,2,84,37,FormationChange,4-4-2
411036,Fulham,170,2,85,49,FormationChange,4-4-2
411036,Blackpool,93,1,0,0,FormationSet,4-3-3
411038,Stoke,96,2,51,14,FormationChange,4-4-2
411038,Chelsea,15,2,71,43,FormationChange,4-3-3
411038,Stoke,96,2,85,28,FormationChange,4-4-2
411038,Chelsea,15,1,0,0,FormationSet,4-3-3
411026,West Ham,29,1,0,0,FormationSet,5
411029,Tottenham,30,1,0,0,FormationSet,4-4-2
411031,Wolves,161,2,56,15,FormationChange,4-4-2
411031,Wolves,161,1,0,0,FormationSet,4-4-2
411030,Everton,31,1,0,0,FormationSet,4-4-1-1
411034,Birmingham,157,2,67,17,FormationChange,4-4-2
411034,Birmingham,157,2,75,33,FormationChange,4-4-2
411034,Birmingham,157,1,0,0,FormationSet,5
411027,Liverpool,26,2,45,0,FormationChange,4-4-1-1
411027,Liverpool,26,1,0,0,FormationSet,4-4-1-1
411028,Sunderland,16,2,45,0,FormationChange,4-2-3-1
411028,Man City,167,1,0,0,FormationSet,5
411040,Bolton,92,2,65,48,FormationChange,4-4-2
411040,Arsenal,13,1,0,0,FormationSet,5
411044,Everton,31,2,68,54,FormationChange,4-4-1-1
411044,Man Utd,32,2,80,37,FormationChange,4-3-3
411044,Man Utd,32,1,0,0,FormationSet,4-3-3
411037,Fulham,170,1,34,26,FormationChange,4-4-2
411037,Wolves,161,2,45,0,FormationChange,4-4-2
411037,Wolves,161,2,82,25,FormationChange,4-4-2
411037,Wolves,161,2,84,38,FormationChange,5
411037,Wolves,161,2,88,59,FormationChange,5
411037,Wolves,161,1,0,0,FormationSet,4-4-2
411035,Blackburn,158,1,39,51,FormationChange,4-3-3
411035,Man City,167,1,0,0,FormationSet,5
411033,Blackpool,93,1,4,32,FormationChange,4-3-3
411033,Blackpool,93,1,6,8,FormationChange,4-3-3
411033,Blackpool,93,1,21,56,FormationChange,4-3-3
411033,Blackpool,93,1,35,47,FormationChange,4-3-3
411033,Newcastle,23,2,63,9,FormationChange,4-4-1-1
411033,Newcastle,23,2,80,46,FormationChange,4-4-1-1
411033,Blackpool,93,1,0,0,FormationSet,4-3-3
411041,Tottenham,30,2,77,21,FormationChange,5
411041,Tottenham,30,1,0,0,FormationSet,5
411042,Chelsea,15,1,0,0,FormationSet,4-3-3
411045,Wigan,194,1,3,40,FormationChange,5
411045,Sunderland,16,1,33,0,FormationChange,4-4-2
411045,Sunderland,16,2,45,10,FormationChange,4-4-2
411045,Sunderland,16,2,79,55,FormationChange,4-4-2
411045,Sunderland,16,1,0,0,FormationSet,4-4-2
411039,Liverpool,26,2,77,30,FormationChange,4-4-1-1
411039,Birmingham,157,1,0,0,FormationSet,4-4-2
411043,Stoke,96,2,64,55,FormationChange,4-4-2
411043,Stoke,96,1,0,0,FormationSet,4-4-2
411049,Aston Villa,24,2,72,6,FormationChange,3
411049,Bolton,92,1,0,0,FormationSet,4-4-2
411051,Blackburn,158,1,0,0,FormationSet,4-3-3
411050,Everton,31,2,73,0,FormationChange,4-4-1-1
411050,Everton,31,1,0,0,FormationSet,4-4-1-1
411053,West Ham,29,1,0,0,FormationSet,4-3-3
411047,Arsenal,13,2,57,36,FormationChange,4-2-3-1
411047,Sunderland,16,2,76,5,FormationChange,4-3-3
411047,Arsenal,13,1,0,0,FormationSet,4-2-3-1
411048,Wolves,161,2,58,18,FormationChange,5
411048,Tottenham,30,2,85,27,FormationChange,4-4-2
411048,Wolves,161,2,89,22,FormationChange,4-4-2
411048,Tottenham,30,1,0,0,FormationSet,4-2-3-1
411052,WBA,175,2,45,0,FormationChange,5
411052,Birmingham,157,2,67,53,FormationChange,4-4-2
411052,Birmingham,157,1,0,0,FormationSet,4-4-1-1
411055,Blackpool,93,1,0,0,FormationChange,4-1-4-1
411055,Blackpool,93,2,61,27,FormationChange,4-4-2
411055,Chelsea,15,2,77,15,FormationChange,4-3-3
411046,Liverpool,26,2,61,48,FormationChange,4-4-2
411046,Liverpool,26,2,78,37,FormationChange,4-4-2
411046,Man Utd,32,2,87,44,FormationChange,5
411046,Man Utd,32,1,0,0,FormationSet,4-4-2
411054,Wigan,194,1,0,0,FormationSet,4-2-3-1
411056,Arsenal,13,2,56,24,FormationChange,4-2-3-1
411056,Arsenal,13,1,0,0,FormationSet,4-2-3-1
411080,Birmingham,157,2,61,33,FormationChange,4-4-2
411080,Wigan,194,1,0,0,FormationSet,5
411086,Blackpool,93,2,65,38,FormationChange,4-3-3
411086,Blackpool,93,2,65,45,FormationChange,4-3-3
411086,Blackburn,158,1,0,0,FormationSet,4-3-3
411077,Fulham,170,2,70,15,FormationChange,4-4-2
411077,Everton,31,1,0,0,FormationSet,5
411057,Liverpool,26,2,61,4,FormationChange,4-4-2
411057,Liverpool,26,1,0,0,FormationSet,4-2-3-1
411060,Chelsea,15,2,68,14,FormationChange,4-3-3
411060,Man City,167,1,0,0,FormationSet,5
411058,Tottenham,30,1,0,0,FormationSet,5
411083,Man Utd,32,2,70,32,FormationChange,3
411083,Man Utd,32,1,0,0,FormationSet,4-4-2
411059,Stoke,96,2,49,24,FormationChange,4-4-2
411059,Stoke,96,2,51,26,FormationChange,4-3-3
411059,Newcastle,23,2,73,38,FormationChange,4-4-1-1
411059,Stoke,96,1,0,0,FormationSet,4-4-1-1
411074,Aston Villa,24,2,66,41,FormationChange,4-3-3
